stimulus,prompt_tokens,completion_tokens,resolved_model,timestamp
1,1356,267,qwen/qwen3-vl-32b-instruct,2026-08-07T16:00:41.302789
2,1356,267,qwen/qwen3-vl-32b-instruct,2026-08-07T16:00:53.597541
3,1356,263,qwen/qwen3-vl-32b-instruct,2026-08-07T16:01:04.181066
4,1356,267,qwen/qwen3-vl-32b-instruct,2026-08-07T16:01:12.855459
5,1356,264,qwen/qwen3-vl-32b-instruct,2026-08-07T16:01:21.481704
6,1356,266,qwen/qwen3-vl-32b-instruct,2026-08-07T16:01:29.804400
7,1356,267,qwen/qwen3-vl-32b-instruct,2026-08-07T16:01:38.701289
8,1356,265,qwen/qwen3-vl-32b-instruct,2026-08-07T16:01:47.375113
9,1356,267,qwen/qwen3-vl-32b-instruct,2026-08-07T16:01:55.547248
10,1356,267,qwen/qwen3-vl-32b-instruct,2026-08-07T16:02:03.240911
11,1356,263,qwen/qwen3-vl-32b-instruct,2026-08-07T16:02:13.847427
12,1356,263,qwen/qwen3-vl-32b-instruct,2026-08-07T16:02:23.974645
13,1356,267,qwen/qwen3-vl-32b-instruct,2026-08-07T16:02:33.617098
14,1356,263,qwen/qwen3-vl-32b-instruct,2026-08-07T16:02:42.678328
15,1356,265,qwen/qwen3-vl-32b-instruct,2026-08-07T16:02:52.310696
16,1356,266,qwen/qwen3-vl-32b-instruct,2026-08-07T16:03:00.183088
17,1356,267,qwen/qwen3-vl-32b-instruct,2026-08-07T16:03:10.255605
18,1356,267,qwen/qwen3-vl-32b-instruct,2026-08-07T16:03:17.696155
19,1356,262,qwen/qwen3-vl-32b-instruct,2026-08-07T16:03:25.321899
20,1356,266,qwen/qwen3-vl-32b-instruct,2026-08-07T16:03:33.932987
21,1356,267,qwen/qwen3-vl-32b-instruct,2026-08-07T16:03:41.801853
22,1356,264,qwen/qwen3-vl-32b-instruct,2026-08-07T16:03:49.540695
23,1356,265,qwen/qwen3-vl-32b-instruct,2026-08-07T16:03:57.985495
24,1356,262,qwen/qwen3-vl-32b-instruct,2026-08-07T16:04:07.090740
25,1356,264,qwen/qwen3-vl-32b-instruct,2026-08-07T16:04:14.667014
26,1356,266,qwen/qwen3-vl-32b-instruct,2026-08-07T16:04:22.973698
27,1356,267,qwen/qwen3-vl-32b-instruct,2026-08-07T16:04:30.406069
28,1356,267,qwen/qwen3-vl-32b-instruct,2026-08-07T16:04:38.257568
29,1356,267,qwen/qwen3-vl-32b-instruct,2026-08-07T16:04:46.079483
30,1356,263,qwen/qwen3-vl-32b-instruct,2026-08-07T16:04:54.074168
31,1356,267,qwen/qwen3-vl-32b-instruct,2026-08-07T16:05:02.563053
32,1356,267,qwen/qwen3-vl-32b-instruct,2026-08-07T16:05:10.675756
33,1356,261,qwen/qwen3-vl-32b-instruct,2026-08-07T16:05:17.990537
34,1356,267,qwen/qwen3-vl-32b-instruct,2026-08-07T16:05:25.626435
35,1356,263,qwen/qwen3-vl-32b-instruct,2026-08-07T16:05:33.583576
36,1356,265,qwen/qwen3-vl-32b-instruct,2026-08-07T16:05:41.397911
37,1356,264,qwen/qwen3-vl-32b-instruct,2026-08-07T16:05:49.939049
38,1356,262,qwen/qwen3-vl-32b-instruct,2026-08-07T16:05:57.327670
39,1356,264,qwen/qwen3-vl-32b-instruct,2026-08-07T16:06:05.121907
40,1356,262,qwen/qwen3-vl-32b-instruct,2026-08-07T16:06:13.551286
41,1356,267,qwen/qwen3-vl-32b-instruct,2026-08-07T16:06:22.101264
42,1356,267,qwen/qwen3-vl-32b-instruct,2026-08-07T16:06:30.329656
43,1356,267,qwen/qwen3-vl-32b-instruct,2026-08-07T16:06:39.370568
44,1356,266,qwen/qwen3-vl-32b-instruct,2026-08-07T16:06:47.563321
45,1356,265,qwen/qwen3-vl-32b-instruct,2026-08-07T16:06:55.160875
46,1356,263,qwen/qwen3-vl-32b-instruct,2026-08-07T16:07:03.048317
47,1356,263,qwen/qwen3-vl-32b-instruct,2026-08-07T16:07:11.430062
48,1356,267,qwen/qwen3-vl-32b-instruct,2026-08-07T16:07:19.328936
49,1356,267,qwen/qwen3-vl-32b-instruct,2026-08-07T16:07:26.886193
50,1356,266,qwen/qwen3-vl-32b-instruct,2026-08-07T16:07:34.313125
51,1356,267,qwen/qwen3-vl-32b-instruct,2026-08-07T16:07:42.485255
52,1356,267,qwen/qwen3-vl-32b-instruct,2026-08-07T16:07:50.686511
53,1356,267,qwen/qwen3-vl-32b-instruct,2026-08-07T16:07:58.773577
54,1356,263,qwen/qwen3-vl-32b-instruct,2026-08-07T16:08:06.408141
55,1356,264,qwen/qwen3-vl-32b-instruct,2026-08-07T16:08:14.694774
56,1356,267,qwen/qwen3-vl-32b-instruct,2026-08-07T16:08:22.150368
57,1356,266,qwen/qwen3-vl-32b-instruct,2026-08-07T16:08:29.808782
