stimulus,prompt_tokens,completion_tokens,resolved_model,timestamp
1,1363,1921,qwen/qwen3.6-plus,2026-08-06T04:38:34.021432
2,1363,1928,qwen/qwen3.6-plus,2026-08-06T04:39:16.493173
3,1363,1560,qwen/qwen3.6-plus,2026-08-06T04:39:49.851779
4,1363,1569,qwen/qwen3.6-plus,2026-08-06T04:40:23.070169
5,1363,1481,qwen/qwen3.6-plus,2026-08-06T04:40:55.866748
6,1363,2208,qwen/qwen3.6-plus,2026-08-06T04:41:41.417303
7,1363,1338,qwen/qwen3.6-plus,2026-08-06T04:42:11.078070
8,1363,1301,qwen/qwen3.6-plus,2026-08-06T04:42:40.010625
9,1363,1819,qwen/qwen3.6-plus,2026-08-06T04:43:18.458223
10,1363,1932,qwen/qwen3.6-plus,2026-08-06T04:43:57.885137
11,1363,2209,qwen/qwen3.6-plus,2026-08-06T04:44:43.719917
12,1363,1305,qwen/qwen3.6-plus,2026-08-06T04:45:13.846079
13,1363,1505,qwen/qwen3.6-plus,2026-08-06T04:45:49.170399
14,1363,1689,qwen/qwen3.6-plus,2026-08-06T04:46:24.793265
15,1363,2130,qwen/qwen3.6-plus,2026-08-06T04:47:08.543792
16,1363,1347,qwen/qwen3.6-plus,2026-08-06T04:47:38.520157
17,1363,1768,qwen/qwen3.6-plus,2026-08-06T04:48:16.300224
18,1363,1875,qwen/qwen3.6-plus,2026-08-06T04:48:58.021719
19,1363,1559,qwen/qwen3.6-plus,2026-08-06T04:49:31.001250
20,1363,1680,qwen/qwen3.6-plus,2026-08-06T04:50:06.534094
21,1363,1616,qwen/qwen3.6-plus,2026-08-06T04:50:41.846874
22,1363,1722,qwen/qwen3.6-plus,2026-08-06T04:51:18.297568
23,1363,1438,qwen/qwen3.6-plus,2026-08-06T04:51:50.685450
24,1363,1946,qwen/qwen3.6-plus,2026-08-06T04:52:30.620283
25,1363,1335,qwen/qwen3.6-plus,2026-08-06T04:53:03.304844
26,1363,1970,qwen/qwen3.6-plus,2026-08-06T04:53:44.203330
27,1363,2151,qwen/qwen3.6-plus,2026-08-06T04:54:30.560795
28,1363,1685,qwen/qwen3.6-plus,2026-08-06T04:55:08.896994
29,1363,2186,qwen/qwen3.6-plus,2026-08-06T04:55:55.342683
30,1363,1503,qwen/qwen3.6-plus,2026-08-06T04:56:29.313957
31,1363,1203,qwen/qwen3.6-plus,2026-08-06T04:56:57.883870
32,1363,1847,qwen/qwen3.6-plus,2026-08-06T04:57:37.043404
33,1363,1323,qwen/qwen3.6-plus,2026-08-06T04:58:07.444595
34,1363,1373,qwen/qwen3.6-plus,2026-08-06T04:58:38.902891
35,1363,1416,qwen/qwen3.6-plus,2026-08-06T04:59:10.898547
36,1363,1501,qwen/qwen3.6-plus,2026-08-06T04:59:43.682762
37,1363,1411,qwen/qwen3.6-plus,2026-08-06T05:00:15.173818
38,1363,1726,qwen/qwen3.6-plus,2026-08-06T05:00:53.675482
39,1363,1691,qwen/qwen3.6-plus,2026-08-06T05:01:30.226527
40,1363,1345,qwen/qwen3.6-plus,2026-08-06T05:02:00.693689
41,1363,1419,qwen/qwen3.6-plus,2026-08-06T05:02:31.806272
42,1363,1380,qwen/qwen3.6-plus,2026-08-06T05:03:02.966211
43,1363,1033,qwen/qwen3.6-plus,2026-08-06T05:03:28.549531
44,1363,1944,qwen/qwen3.6-plus,2026-08-06T05:04:08.187394
45,1363,1828,qwen/qwen3.6-plus,2026-08-06T05:04:46.788469
46,1363,1838,qwen/qwen3.6-plus,2026-08-06T05:05:24.876539
47,1363,1631,qwen/qwen3.6-plus,2026-08-06T05:05:59.538799
48,1363,1837,qwen/qwen3.6-plus,2026-08-06T05:06:39.569169
49,1363,1700,qwen/qwen3.6-plus,2026-08-06T05:07:17.189080
50,1363,1465,qwen/qwen3.6-plus,2026-08-06T05:07:49.044189
51,1363,1531,qwen/qwen3.6-plus,2026-08-06T05:08:23.254943
52,1363,1584,qwen/qwen3.6-plus,2026-08-06T17:36:19.636635
53,1363,1421,qwen/qwen3.6-plus,2026-08-06T17:36:51.321657
54,1363,1579,qwen/qwen3.6-plus,2026-08-06T17:37:26.312448
55,1363,1310,qwen/qwen3.6-plus,2026-08-06T17:37:57.208106
56,1363,1751,qwen/qwen3.6-plus,2026-08-06T17:38:33.812831
57,1363,1361,qwen/qwen3.6-plus,2026-08-06T17:39:03.935639
58,1363,2134,qwen/qwen3.6-plus,2026-08-06T17:39:49.441134
59,1363,1325,qwen/qwen3.6-plus,2026-08-06T17:40:18.960007
60,1363,1631,qwen/qwen3.6-plus,2026-08-06T17:40:55.694794
61,1363,1300,qwen/qwen3.6-plus,2026-08-06T17:41:26.617541
62,1363,1390,qwen/qwen3.6-plus,2026-08-06T17:41:57.201523
63,1363,1287,qwen/qwen3.6-plus,2026-08-06T17:42:27.547130
64,1363,1866,qwen/qwen3.6-plus,2026-08-06T17:43:07.045445
65,1363,2280,qwen/qwen3.6-plus,2026-08-06T17:43:53.267855
66,1363,1432,qwen/qwen3.6-plus,2026-08-06T17:44:25.148432
67,1363,1802,qwen/qwen3.6-plus,2026-08-06T17:45:02.841797
68,1363,1274,qwen/qwen3.6-plus,2026-08-06T17:45:32.315262
69,1363,1577,qwen/qwen3.6-plus,2026-08-06T17:46:06.170803
70,1363,1778,qwen/qwen3.6-plus,2026-08-06T17:46:44.002769
71,1363,1842,qwen/qwen3.6-plus,2026-08-06T17:47:22.968640
72,1363,1709,qwen/qwen3.6-plus,2026-08-06T17:47:58.598418
73,1363,1695,qwen/qwen3.6-plus,2026-08-06T17:48:35.561088
74,1363,1750,qwen/qwen3.6-plus,2026-08-06T17:49:12.551153
75,1363,1491,qwen/qwen3.6-plus,2026-08-06T17:49:44.827624
76,1363,1697,qwen/qwen3.6-plus,2026-08-06T17:50:20.953285
77,1363,1800,qwen/qwen3.6-plus,2026-08-06T17:50:57.992958
78,1363,1557,qwen/qwen3.6-plus,2026-08-06T17:51:31.905771
79,1363,1264,qwen/qwen3.6-plus,2026-08-06T17:52:01.624570
80,1363,1761,qwen/qwen3.6-plus,2026-08-06T17:52:37.804476
81,1363,1382,qwen/qwen3.6-plus,2026-08-06T17:53:08.665794
82,1363,1846,qwen/qwen3.6-plus,2026-08-06T17:53:54.655243
83,1363,1226,qwen/qwen3.6-plus,2026-08-06T17:54:23.111607
84,1363,1708,qwen/qwen3.6-plus,2026-08-06T17:54:59.318520
85,1363,1480,qwen/qwen3.6-plus,2026-08-06T17:55:35.195238
86,1363,1718,qwen/qwen3.6-plus,2026-08-06T17:56:10.945640
87,1363,1317,qwen/qwen3.6-plus,2026-08-06T17:56:41.725130
88,1363,1213,qwen/qwen3.6-plus,2026-08-06T17:57:09.374323
89,1363,1536,qwen/qwen3.6-plus,2026-08-06T17:57:42.326693
90,1363,1306,qwen/qwen3.6-plus,2026-08-06T17:58:10.500757
91,1363,1561,qwen/qwen3.6-plus,2026-08-06T17:58:44.639178
92,1363,1653,qwen/qwen3.6-plus,2026-08-06T17:59:19.286151
93,1363,1480,qwen/qwen3.6-plus,2026-08-06T17:59:52.041335
94,1363,1925,qwen/qwen3.6-plus,2026-08-06T18:00:31.583818
95,1363,1778,qwen/qwen3.6-plus,2026-08-06T18:01:08.572350
96,1363,1338,qwen/qwen3.6-plus,2026-08-06T18:01:37.983356
97,1363,1336,qwen/qwen3.6-plus,2026-08-06T18:02:09.411785
98,1363,1480,qwen/qwen3.6-plus,2026-08-06T18:02:41.149236
99,1363,1453,qwen/qwen3.6-plus,2026-08-06T18:03:12.983176
100,1363,1589,qwen/qwen3.6-plus,2026-08-06T18:03:46.335044
101,1363,1224,qwen/qwen3.6-plus,2026-08-06T18:04:14.780262
102,1363,1327,qwen/qwen3.6-plus,2026-08-06T18:04:48.059285
103,1363,1727,qwen/qwen3.6-plus,2026-08-06T18:05:24.615381
