stimulus,prompt_tokens,completion_tokens,resolved_model,timestamp
927,1623,256,google/gemini-2.5-flash-lite,2026-07-17T16:38:40.899333
683,1623,331,google/gemini-2.5-flash-lite,2026-07-17T16:38:55.085688
366,1623,258,google/gemini-2.5-flash-lite,2026-07-17T16:39:04.556366
656,1623,257,google/gemini-2.5-flash-lite,2026-07-17T16:39:10.225783
657,1623,256,google/gemini-2.5-flash-lite,2026-07-17T16:39:15.670754
530,1623,333,google/gemini-2.5-flash-lite,2026-07-17T16:39:21.427600
322,1623,258,google/gemini-2.5-flash-lite,2026-07-17T16:39:27.353194
71,1623,261,google/gemini-2.5-flash-lite,2026-07-17T16:39:32.076724
372,1623,257,google/gemini-2.5-flash-lite,2026-07-17T16:39:50.749961
979,1623,258,google/gemini-2.5-flash-lite,2026-07-17T16:40:25.021580
299,1623,261,google/gemini-2.5-flash-lite,2026-07-17T16:40:36.511831
102,1623,255,google/gemini-2.5-flash-lite,2026-07-17T16:40:41.391238
960,1623,256,google/gemini-2.5-flash-lite,2026-07-17T16:40:47.463203
606,1623,257,google/gemini-2.5-flash-lite,2026-07-17T16:40:52.157352
238,1623,258,google/gemini-2.5-flash-lite,2026-07-17T16:41:00.517268
594,1623,258,google/gemini-2.5-flash-lite,2026-07-17T16:41:05.001289
389,1623,261,google/gemini-2.5-flash-lite,2026-07-17T16:41:21.682835
884,1623,257,google/gemini-2.5-flash-lite,2026-07-17T16:41:26.403268
245,1623,256,google/gemini-2.5-flash-lite,2026-07-17T16:41:42.847566
210,1623,257,google/gemini-2.5-flash-lite,2026-07-17T16:42:02.498821
260,1623,261,google/gemini-2.5-flash-lite,2026-07-17T16:42:07.675731
159,1623,257,google/gemini-2.5-flash-lite,2026-07-17T16:42:12.904772
496,1623,266,google/gemini-2.5-flash-lite,2026-07-17T16:42:17.568256
527,1623,258,google/gemini-2.5-flash-lite,2026-07-17T16:42:22.801682
295,1623,256,google/gemini-2.5-flash-lite,2026-07-17T16:42:39.129782
804,1623,258,google/gemini-2.5-flash-lite,2026-07-17T16:42:52.167441
955,1623,258,google/gemini-2.5-flash-lite,2026-07-17T16:42:57.794061
381,1623,254,google/gemini-2.5-flash-lite,2026-07-17T16:43:29.854314
24,1623,255,google/gemini-2.5-flash-lite,2026-07-17T16:43:39.326677
817,1623,255,google/gemini-2.5-flash-lite,2026-07-17T16:43:57.736472
810,1623,256,google/gemini-2.5-flash-lite,2026-07-17T16:44:02.350642
483,1623,256,google/gemini-2.5-flash-lite,2026-07-17T16:44:08.208710
446,1623,258,google/gemini-2.5-flash-lite,2026-07-17T16:44:12.977754
200,1623,258,google/gemini-2.5-flash-lite,2026-07-17T16:44:18.683306
501,1623,259,google/gemini-2.5-flash-lite,2026-07-17T16:44:24.202550
774,1623,255,google/gemini-2.5-flash-lite,2026-07-17T16:44:29.515847
721,1623,258,google/gemini-2.5-flash-lite,2026-07-17T16:44:52.168590
454,1623,255,google/gemini-2.5-flash-lite,2026-07-17T16:45:01.712355
930,1623,257,google/gemini-2.5-flash-lite,2026-07-17T16:45:06.810314
40,1623,255,google/gemini-2.5-flash-lite,2026-07-17T16:45:12.321821
820,1623,256,google/gemini-2.5-flash-lite,2026-07-17T16:45:21.608989
352,1623,332,google/gemini-2.5-flash-lite,2026-07-17T16:45:26.347435
67,1623,257,google/gemini-2.5-flash-lite,2026-07-17T16:45:31.660699
278,1623,255,google/gemini-2.5-flash-lite,2026-07-17T16:45:36.369952
297,1623,258,google/gemini-2.5-flash-lite,2026-07-17T16:45:56.427132
599,1623,332,google/gemini-2.5-flash-lite,2026-07-17T16:46:06.367089
849,1623,255,google/gemini-2.5-flash-lite,2026-07-17T16:46:14.735717
424,593,330,google/gemini-2.5-flash-lite,2026-07-17T16:46:31.518502
758,1623,257,google/gemini-2.5-flash-lite,2026-07-17T16:46:36.250587
185,1623,259,google/gemini-2.5-flash-lite,2026-07-17T16:46:44.564738
64,1623,258,google/gemini-2.5-flash-lite,2026-07-17T16:46:58.315068
891,1623,257,google/gemini-2.5-flash-lite,2026-07-17T17:30:39.143626
287,1623,258,google/gemini-2.5-flash-lite,2026-07-17T17:31:27.059876
794,1623,258,google/gemini-2.5-flash-lite,2026-07-17T17:31:37.931615
97,1623,256,google/gemini-2.5-flash-lite,2026-07-17T17:31:45.905324
934,1623,257,google/gemini-2.5-flash-lite,2026-07-17T17:32:03.484964
332,1623,258,google/gemini-2.5-flash-lite,2026-07-17T17:32:10.406053
315,1623,256,google/gemini-2.5-flash-lite,2026-07-17T17:32:21.643045
921,1623,330,google/gemini-2.5-flash-lite,2026-07-17T17:32:32.479414
622,1623,258,google/gemini-2.5-flash-lite,2026-07-17T17:32:37.991153
108,1623,259,google/gemini-2.5-flash-lite,2026-07-17T17:33:39.733750
945,1623,255,google/gemini-2.5-flash-lite,2026-07-17T17:34:26.124634
313,1623,258,google/gemini-2.5-flash-lite,2026-07-17T17:34:41.072181
